10100,20,190
10100,20,191
10100,20,192
10100,20,193
10100,20,194
10100,20,196
10100,20,198
10002,11,70
10002,11,73
10002,11,78
10002,11,82
10002,11,89
10002,11,99
10002,11,113
10001,2,18
10001,2,20
10005,15,105
10005,15,115
10005,15,122
10005,15,128
10005,15,136
10005,15,151
10005,15,160
10003,3,19
10003,3,21
10018,19,188
10018,19,189
10012,5,32
10012,5,34
10011,16,96
10011,16,106
10011,16,116
10011,16,121
10011,16,130
10011,16,145
10011,16,155
10010,4,33
10010,4,35
10006,13,85
10006,13,95
10006,13,103
10006,13,111
10006,13,118
10006,13,134
10006,13,147
10008,12,39
10008,12,43
10008,12,46
10008,12,49
10008,12,56
10008,12,58
10017,18,79
10017,18,87
10017,18,91
10017,18,97
10017,18,110
10017,18,119
10013,9,37
10013,9,40
10013,9,42
10013,9,45
10013,9,51
10013,9,55
10015,6,64
10015,6,65
10015,6,66
10015,6,68
10015,6,69
10015,6,76
10015,6,86
10007,17,52
10007,17,57
10007,17,59
10007,17,60
10007,17,62
10007,17,63
10009,10,36
10009,10,38
10009,10,41
10009,10,44
10009,10,50
10009,10,54
10004,14,75
10004,14,80
10004,14,84
10004,14,90
10004,14,98
10004,14,112
10004,14,127
10014,8,67
10014,8,71
10014,8,74
10014,8,77
10014,8,83
10014,8,94
10014,8,107
